STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00094728,New York,01-01-2010,0.03,,40,33
USW00094728,New York,02-01-2010,0.02,,34,17
USW00094728,New York,03-01-2010,0,,22,17
USW00094728,New York,04-01-2010,0,,30,19
USW00094728,New York,05-01-2010,0,,30,20
USW00094728,New York,06-01-2010,0,,34,26
USW00094728,New York,07-01-2010,0,,37,30
USW00094728,New York,08-01-2010,0.05,,33,23
USW00094728,New York,09-01-2010,0,,30,18
USW00094728,New York,10-01-2010,0,,28,14
USW00094728,New York,11-01-2010,0,,31,21
USW00094728,New York,12-01-2010,0,,35,24
USW00094728,New York,13-01-2010,0,,35,24
USW00094728,New York,14-01-2010,0,,42,30
USW00094728,New York,15-01-2010,0,,50,35
USW00094728,New York,16-01-2010,0,,49,38
USW00094728,New York,17-01-2010,0.57,,46,35
USW00094728,New York,18-01-2010,0.05,,50,37
USW00094728,New York,19-01-2010,0,,48,40
USW00094728,New York,20-01-2010,0,,41,34
USW00094728,New York,21-01-2010,0,,41,31
USW00094728,New York,22-01-2010,0,,44,32
USW00094728,New York,23-01-2010,0,,40,28
USW00094728,New York,24-01-2010,0.02,,50,32
USW00094728,New York,25-01-2010,1.25,,57,49
USW00094728,New York,26-01-2010,0,,49,35
USW00094728,New York,27-01-2010,0,,39,31
USW00094728,New York,28-01-2010,0.09,,42,20
USW00094728,New York,29-01-2010,0,,23,16
USW00094728,New York,30-01-2010,0,,20,13
USW00094728,New York,31-01-2010,0,,30,14
USW00094728,New York,01-02-2010,0,,35,25
USW00094728,New York,02-02-2010,0.03,,33,27
USW00094728,New York,03-02-2010,0.06,,39,29
USW00094728,New York,04-02-2010,0,,37,28
USW00094728,New York,05-02-2010,0,,36,29
USW00094728,New York,06-02-2010,0,,33,20
USW00094728,New York,07-02-2010,0,,34,17
USW00094728,New York,08-02-2010,0,,37,23
USW00094728,New York,09-02-2010,0,,42,28
USW00094728,New York,10-02-2010,1.33,,34,30
USW00094728,New York,11-02-2010,0,,37,28
USW00094728,New York,12-02-2010,0,,37,26
USW00094728,New York,13-02-2010,0,,32,24
USW00094728,New York,14-02-2010,0,,39,28
USW00094728,New York,15-02-2010,0.01,,40,27
USW00094728,New York,16-02-2010,0.43,,33,29
USW00094728,New York,17-02-2010,0,,35,26
USW00094728,New York,18-02-2010,0,,40,32
USW00094728,New York,19-02-2010,0,,43,35
USW00094728,New York,20-02-2010,0,,44,35
USW00094728,New York,21-02-2010,0,,46,33
USW00094728,New York,22-02-2010,0.03,,45,29
USW00094728,New York,23-02-2010,1.2,,38,35
USW00094728,New York,24-02-2010,0.42,,42,36
USW00094728,New York,25-02-2010,2,,38,27
USW00094728,New York,26-02-2010,1.17,,33,26
USW00094728,New York,27-02-2010,0.01,,38,29
USW00094728,New York,28-02-2010,0,,40,33
USW00094728,New York,01-03-2010,0,,48,36
USW00094728,New York,02-03-2010,0.01,,47,36
USW00094728,New York,03-03-2010,0.07,,41,34
USW00094728,New York,04-03-2010,0,,47,35
USW00094728,New York,05-03-2010,0,,49,34
USW00094728,New York,06-03-2010,0,,54,32
USW00094728,New York,07-03-2010,0,,57,37
USW00094728,New York,08-03-2010,0,,61,41
USW00094728,New York,09-03-2010,0,,61,44
USW00094728,New York,10-03-2010,0,,57,44
USW00094728,New York,11-03-2010,0,,53,42
USW00094728,New York,12-03-2010,0.21,,43,39
USW00094728,New York,13-03-2010,3.86,,46,38
USW00094728,New York,14-03-2010,0.24,,50,43
USW00094728,New York,15-03-2010,0.33,,46,41
USW00094728,New York,16-03-2010,0,,63,41
USW00094728,New York,17-03-2010,0,,66,43
USW00094728,New York,18-03-2010,0,,69,50
USW00094728,New York,19-03-2010,0,,72,49
USW00094728,New York,20-03-2010,0,,74,54
USW00094728,New York,21-03-2010,0,,64,51
USW00094728,New York,22-03-2010,1.34,,57,50
USW00094728,New York,23-03-2010,0.11,,53,45
USW00094728,New York,24-03-2010,0,,60,43
USW00094728,New York,25-03-2010,0,,62,48
USW00094728,New York,26-03-2010,0.14,,52,34
USW00094728,New York,27-03-2010,0,,44,29
USW00094728,New York,28-03-2010,0.34,,49,36
USW00094728,New York,29-03-2010,1.58,,53,48
USW00094728,New York,30-03-2010,2.45,,50,41
USW00094728,New York,31-03-2010,0.01,,57,45
USW00094728,New York,01-04-2010,0,,70,48
USW00094728,New York,02-04-2010,0,,68,48
USW00094728,New York,03-04-2010,0,,67,47
USW00094728,New York,04-04-2010,0,,76,47
USW00094728,New York,05-04-2010,0,,75,56
USW00094728,New York,06-04-2010,0,,78,58
USW00094728,New York,07-04-2010,0,,92,56
USW00094728,New York,08-04-2010,0,,80,64
USW00094728,New York,09-04-2010,0.3,,68,44
USW00094728,New York,10-04-2010,0,,62,42
